Utterance,Sentiment,cleanText,prediction
你知道啊,positive,你 知道 啊,"{'label': 'negative', 'score': 0.45983731746673584}"
从没听说过,neutral,从没 听说 过,"{'label': 'negative', 'score': 0.466550350189209}"
你的藏宝图呢,negative,你 的 藏宝图 呢,"{'label': 'neutral', 'score': 0.7300041913986206}"
什么图,negative,什么 图,"{'label': 'positive', 'score': 0.6535847783088684}"
你都说了是寻宝了,neutral,你 都 说 了 是 寻宝 了,"{'label': 'positive', 'score': 0.4084697663784027}"
一定有藏宝图,neutral,一定 有 藏宝图,"{'label': 'positive', 'score': 0.8529027104377747}"
我只带了这个,neutral,我 只 带 了 这个,"{'label': 'neutral', 'score': 0.4913286864757538}"
我说是藏宝图,neutral,我 说 是 藏宝图,"{'label': 'neutral', 'score': 0.40244540572166443}"
你给我地图,negative,你 给 我 地图,"{'label': 'neutral', 'score': 0.4799520671367645}"
这还是张世界地图,negative,这 还是 张世界 地图,"{'label': 'neutral', 'score': 0.4744024872779846}"
我要有藏宝图的话,negative,我 要 有 藏宝图 的话,"{'label': 'positive', 'score': 0.760445773601532}"
还用找 直接坐计程车去不就好了,negative,还 用 找 直接 坐 计程车 去 不 就 好 了,"{'label': 'neutral', 'score': 0.4772076904773712}"
你可以找我姐姐,neutral,你 可以 找 我 姐姐,"{'label': 'neutral', 'score': 0.6351408958435059}"
她这人超热心,neutral,她 这 人 超热心,"{'label': 'neutral', 'score': 0.47745057940483093}"
说不定能帮上你,positive,说不定 能 帮 上 你,"{'label': 'neutral', 'score': 0.43481093645095825}"
真的吗,positive,真的 吗,"{'label': 'negative', 'score': 0.5226017236709595}"
我姐姐是大学老师,neutral,我 姐姐 是 大学 老师,"{'label': 'neutral', 'score': 0.7659531235694885}"
本来她应该今天来接我的,neutral,本来 她 应该 今天 来 接 我 的,"{'label': 'neutral', 'score': 0.7851249575614929}"
可听说她要做一场什么婚礼的总导演,negative,可 听说 她 要 做 一 场 什么 婚礼 的 总 导演,"{'label': 'neutral', 'score': 0.8957457542419434}"
我就只能自己坐车过去,negative,我 就 只能 自己 坐车 过去,"{'label': 'neutral', 'score': 0.8126991391181946}"
导演,positive,导演,"{'label': 'negative', 'score': 0.48645222187042236}"
那她一定很厉害吧,positive,那 她 一定 很 厉害 吧,"{'label': 'positive', 'score': 0.4877167344093323}"
我也好久没见她了,neutral,我 也 好久 没 见 她 了,"{'label': 'neutral', 'score': 0.4910432696342468}"
在我的印象里,neutral,在 我 的 印象 里,"{'label': 'neutral', 'score': 0.7522134184837341}"
记忆最深刻的就是她的眼睛明亮、睿智,neutral,记忆 最 深刻 的 就是 她 的 眼睛 明亮 睿智,"{'label': 'positive', 'score': 0.718083381652832}"
还有他的手纤细温暖,neutral,还有 他 的 手纤 细温暖,"{'label': 'positive', 'score': 0.8301284909248352}"
我猜她现在一定比几年前更优雅一点,neutral,我 猜 她 现在 一定 比 几 年前 更 优雅 一点,"{'label': 'positive', 'score': 0.6445409059524536}"
人们都亲切的用8个字来形容她,neutral,人们 都 亲切 的 用 8 个 字来 形容 她,"{'label': 'neutral', 'score': 0.7603158950805664}"
静若处子,neutral,静若处子,"{'label': 'neutral', 'score': 0.3807276785373688}"
动若疯兔,neutral,动若 疯兔,"{'label': 'neutral', 'score': 0.6532513499259949}"
您好,neutral,您 好,"{'label': 'neutral', 'score': 0.6711903810501099}"
曾老师吗,positive,曾 老师 吗,"{'label': 'neutral', 'score': 0.4954706132411957}"
好男人就是我,positive,好 男人 就是 我,"{'label': 'negative', 'score': 0.4837239384651184}"
我就是曾小贤,positive,我 就是 曾 小贤,"{'label': 'negative', 'score': 0.4700421392917633}"
我听了你的故事很感动,positive,我 听 了 你 的 故事 很 感动,"{'label': 'neutral', 'score': 0.531558096408844}"
可是你说的那人运气也忒好了点,negative,可是 你 说 的 那 人 运气 也 忒 好 了 点,"{'label': 'negative', 'score': 0.55633145570755}"
千万别这么说,positive,千万 别 这么 说,"{'label': 'negative', 'score': 0.8151887655258179}"
爱情就是这样,neutral,爱情 就是 这样,"{'label': 'neutral', 'score': 0.5434776544570923}"
当你不知不觉的时候,neutral,当 你 不知不觉 的 时候,"{'label': 'negative', 'score': 0.5465217232704163}"
他就来到了你的身边,neutral,他 就 来到 了 你 的 身边,"{'label': 'positive', 'score': 0.40187281370162964}"
可我总是时运不济怎么办,negative,可 我 总是 时运不济 怎么办,"{'label': 'negative', 'score': 0.8011829853057861}"
这位听众,neutral,这位 听众,"{'label': 'neutral', 'score': 0.5064840912818909}"
没有一个人会永远走运,neutral,没有 一个 人 会 永远 走运,"{'label': 'negative', 'score': 0.5628961324691772}"
也没有一个人会永远走背运,neutral,也 没有 一个 人 会 永远 走 背运,"{'label': 'neutral', 'score': 0.5850440859794617}"
只要你坚定,neutral,只要 你 坚定,"{'label': 'neutral', 'score': 0.5530887246131897}"
你是不知道啊,negative,你 是 不 知道 啊,"{'label': 'negative', 'score': 0.5885030627250671}"
吃馄饨,negative,吃 馄饨,"{'label': 'neutral', 'score': 0.5224684476852417}"
吃出樟脑丸,negative,吃出 樟脑 丸,"{'label': 'positive', 'score': 0.72333163022995}"
打苍蝇手拍在钉子上去,negative,打苍 蝇手 拍 在 钉子 上去,"{'label': 'negative', 'score': 0.9372977614402771}"
去青松观烧烧香,negative,去 青松 观烧 烧香,"{'label': 'positive', 'score': 0.6318091750144958}"
手机掉到功德箱里拿不出来了,negative,手机 掉到 功德箱 里 拿 不 出来 了,"{'label': 'negative', 'score': 0.8838905096054077}"
这还不算啥,negative,这 还 不算 啥,"{'label': 'negative', 'score': 0.40894055366516113}"
刚才我听了你的故事,negative,刚才 我 听 了 你 的 故事,"{'label': 'neutral', 'score': 0.47886714339256287}"
我就想知道我隔壁住的是不是就是我的另一半,negative,我 就 想 知道 我 隔壁 住 的 是 不是 就是 我 的 另 一半,"{'label': 'positive', 'score': 0.5289771556854248}"
很好,negative,很 好,"{'label': 'neutral', 'score': 0.4555278420448303}"
勇敢的迈出第一步,neutral,勇敢 的 迈出 第一 步,"{'label': 'neutral', 'score': 0.5799940228462219}"
你就会发现你会有意想不到的收获,neutral,你 就 会 发现 你 会 有意 想 不 到 的 收获,"{'label': 'positive', 'score': 0.6242947578430176}"
所以我刚才在那面墙上打了个洞,negative,所以 我 刚才 在 那 面 墙上 打 了 个 洞,"{'label': 'negative', 'score': 0.5268335342407227}"
你猜我后来看到了谁,negative,你 猜 我 后来 看到 了 谁,"{'label': 'positive', 'score': 0.35519278049468994}"
你的另一半,neutral,你 的 另 一半,"{'label': 'neutral', 'score': 0.4114026129245758}"
看到了物业和保安,negative,看到 了 物业 和 保安,"{'label': 'neutral', 'score': 0.8765435814857483}"
这位听众,negative,这位 听众,"{'label': 'neutral', 'score': 0.5064840912818909}"
当你在打穿那堵墙之前,negative,当 你 在 打穿 那 堵墙 之前,"{'label': 'neutral', 'score': 0.7071750164031982}"
你应该先确认一下他是不是一堵承重墙,negative,你 应该 先 确认 一下 他 是 不是 一 堵 承重 墙,"{'label': 'neutral', 'score': 0.5972999930381775}"
不是你说让我砸墙了吗,negative,不是 你 说 让 我 砸墙 了 吗,"{'label': 'negative', 'score': 0.92054682970047}"
不早说他们现在要罚我的钱了怎么办,negative,不 早 说 他们 现在 要 罚 我 的 钱 了 怎么办,"{'label': 'negative', 'score': 0.9390447735786438}"
你听得见吗,negative,你 听 得 见 吗,"{'label': 'negative', 'score': 0.8852840065956116}"
先生您好,neutral,先生 您 好,"{'label': 'neutral', 'score': 0.7471515536308289}"
先生您好,negative,先生 您 好,"{'label': 'neutral', 'score': 0.7471515536308289}"
你好,negative,你好,"{'label': 'neutral', 'score': 0.6124148368835449}"
您的礼金呢,negative,您 的 礼金 呢,"{'label': 'neutral', 'score': 0.8897220492362976}"
我差点忘了,negative,我 差点 忘 了,"{'label': 'negative', 'score': 0.738740861415863}"
这是什么,negative,这是 什么,"{'label': 'negative', 'score': 0.4803454577922821}"
礼金又怎么能表达我对两位新人的祝福,neutral,礼金 又 怎么 能 表达 我 对 两 位 新人 的 祝福,"{'label': 'negative', 'score': 0.4752717912197113}"
再说了人人都送礼金,neutral,再说 了 人人 都 送 礼金,"{'label': 'neutral', 'score': 0.8651717305183411}"
太俗了,neutral,太俗 了,"{'label': 'negative', 'score': 0.8900374174118042}"
我这个礼物可是时下最高新科技的结晶,neutral,我 这个 礼物 可是 时下 最 高新科技 的 结晶,"{'label': 'positive', 'score': 0.8979585766792297}"
乔氏神功丸,neutral,乔氏 神功丸,"{'label': 'neutral', 'score': 0.8812693357467651}"
保健品,neutral,保健品,"{'label': 'neutral', 'score': 0.5958912372589111}"
你错了,neutral,你 错 了,"{'label': 'negative', 'score': 0.7248172163963318}"
它是由澳大利亚最上层的天然原材料提炼而成,positive,它 是 由 澳大利亚 最 上层 的 天然 原材料 提炼 而 成,"{'label': 'neutral', 'score': 0.6123117804527283}"
运用了纳米技术,positive,运用 了 纳米 技术,"{'label': 'neutral', 'score': 0.7132436633110046}"
高温冷提取技术,positive,高温冷 提取 技术,"{'label': 'neutral', 'score': 0.9031877517700195}"
还有克隆技术,positive,还有 克隆 技术,"{'label': 'neutral', 'score': 0.3611491918563843}"
每一颗圣神功丸都富含人体所需的营养元素,positive,每 一 颗 圣神 功丸 都 富含 人体 所需 的 营养 元素,"{'label': 'neutral', 'score': 0.9519045948982239}"
这么好,negative,这么 好,"{'label': 'positive', 'score': 0.4354536235332489}"
他有什么用处的,negative,他 有 什么 用处 的,"{'label': 'negative', 'score': 0.9248859286308289}"
准确来说,positive,准确 来说,"{'label': 'neutral', 'score': 0.6422330141067505}"
它是一个可以激发人类美好生活向往的床上用品,positive,它 是 一个 可以 激发 人类 美好 生活 向往 的 床上用品,"{'label': 'neutral', 'score': 0.8180206418037415}"
床上用品,negative,床上用品,"{'label': 'neutral', 'score': 0.39341607689857483}"
价格公道,positive,价格 公道,"{'label': 'neutral', 'score': 0.5246476531028748}"
破盘价只卖998,positive,破 盘价 只 卖 998,"{'label': 'negative', 'score': 0.5735530257225037}"
今天大喜日子我就只收你500了,positive,今天 大喜 日子 我 就 只 收 你 500 了,"{'label': 'neutral', 'score': 0.6028450131416321}"
剩下的就当我的礼金了,positive,剩下 的 就 当 我 的 礼金 了,"{'label': 'neutral', 'score': 0.5460822582244873}"
礼物我放这了,positive,礼物 我 放 这 了,"{'label': 'neutral', 'score': 0.6401922702789307}"
找零,positive,找 零,"{'label': 'negative', 'score': 0.551042914390564}"
我自己拿咯,positive,我 自己 拿 咯,"{'label': 'neutral', 'score': 0.6966388821601868}"
哪来这么大榔头,negative,哪 来 这么 大 榔头,"{'label': 'negative', 'score': 0.9533374905586243}"
你这个流氓 再捣乱我就喊人了,negative,你 这个 流氓 再 捣乱 我 就 喊人 了,"{'label': 'negative', 'score': 0.9534584879875183}"
飞碟,negative,飞碟,"{'label': 'negative', 'score': 0.7480819821357727}"
胡一菲同志我有话想跟你说,negative,胡一菲 同志 我 有 话 想 跟 你 说,"{'label': 'negative', 'score': 0.8414087295532227}"
快点说,neutral,快点 说,"{'label': 'negative', 'score': 0.7592287659645081}"
没看我这正忙着吗,neutral,没 看 我 这 正 忙着 吗,"{'label': 'neutral', 'score': 0.5397838950157166}"
我希望你在指挥的时候能不能有一点团队意识,negative,我 希望 你 在 指挥 的 时候 能 不 能 有 一点 团队 意识,"{'label': 'neutral', 'score': 0.787508487701416}"
我不明白你的意思,negative,我 不 明白 你 的 意思,"{'label': 'negative', 'score': 0.8785414695739746}"
我的团队很好,neutral,我 的 团队 很 好,"{'label': 'neutral', 'score': 0.6069928407669067}"
有条不紊的,neutral,有条不紊 的,"{'label': 'neutral', 'score': 0.7485342621803284}"
我指的团队是指参加策划组织这次婚礼的其他成员,negative,我 指 的 团队 是 指 参加 策划 组织 这次 婚礼 的 其他 成员,"{'label': 'neutral', 'score': 0.968993067741394}"
比如说,neutral,比如说,"{'label': 'neutral', 'score': 0.6239421963691711}"
比如说我,negative,比如说 我,"{'label': 'neutral', 'score': 0.42395874857902527}"
噢 你是主持的,neutral,噢 你 是 主持 的,"{'label': 'neutral', 'score': 0.547109067440033}"
等我这边忙完了会来找你开会的,neutral,等 我 这边 忙 完了 会 来 找 你 开会 的,"{'label': 'neutral', 'score': 0.6670665740966797}"
我想强调一下,negative,我 想 强调 一下,"{'label': 'neutral', 'score': 0.6266898512840271}"
我是主持人,negative,我 是 主持人,"{'label': 'neutral', 'score': 0.3837379813194275}"
不是报幕员,negative,不是 报幕员,"{'label': 'negative', 'score': 0.7250272035598755}"
有区别吗,neutral,有 区别 吗,"{'label': 'negative', 'score': 0.6202848553657532}"
当然有区别,negative,当然 有 区别,"{'label': 'neutral', 'score': 0.46418383717536926}"
我想新郎委派我来当主持人,positive,我 想 新郎 委派 我 来 当 主持人,"{'label': 'neutral', 'score': 0.49702852964401245}"
是希望由我来控制整个婚礼的现场流程,positive,是 希望 由 我 来 控制 整个 婚礼 的 现场 流程,"{'label': 'neutral', 'score': 0.958651065826416}"
我想新娘委派我来担当这次婚礼的总导演,positive,我 想 新娘 委派 我 来 担当 这次 婚礼 的 总 导演,"{'label': 'neutral', 'score': 0.9071129560470581}"
是希望我来掌控现场的所有事情,positive,是 希望 我 来 掌控 现场 的 所有 事情,"{'label': 'neutral', 'score': 0.5642248392105103}"
包括主持人,positive,包括 主持人,"{'label': 'neutral', 'score': 0.6709000468254089}"
好 好,negative,好 好,"{'label': 'neutral', 'score': 0.38352811336517334}"
你既然已经看过了我的演讲稿和我的计划安排,negative,你 既然 已经 看 过 了 我 的 演讲稿 和 我 的 计划 安排,"{'label': 'neutral', 'score': 0.6970421075820923}"
为什么你还,negative,为什么 你 还,"{'label': 'negative', 'score': 0.9069746136665344}"
你还没有看过对不对,negative,你 还 没有 看 过 对 不对,"{'label': 'negative', 'score': 0.46026724576950073}"
谁说我没看过,negative,谁 说 我 没 看 过,"{'label': 'positive', 'score': 0.4711918532848358}"
我只是觉得你的那套不是很合适这场婚礼,negative,我 只是 觉得 你 的 那 套 不是 很 合适 这 场 婚礼,"{'label': 'neutral', 'score': 0.8067101240158081}"
哪个奇怪大叔写的旧社会婚礼方案 解放这么多年了,positive,哪个 奇怪 大叔 写 的 旧 社会 婚礼 方案 解放 这么 多年 了,"{'label': 'negative', 'score': 0.5035421848297119}"
不能用的,positive,不 能 用 的,"{'label': 'negative', 'score': 0.602419376373291}"
再怎么奇怪,negative,再 怎么 奇怪,"{'label': 'negative', 'score': 0.44089511036872864}"
也比你变态大妈的计划要好吧,negative,也 比 你 变态 大妈 的 计划 要好 吧,"{'label': 'negative', 'score': 0.8017192482948303}"
我怎么看你都想把婚礼办成一个动物狂欢节,negative,我 怎么 看 你 都 想 把 婚礼 办成 一个 动物 狂欢节,"{'label': 'neutral', 'score': 0.6220528483390808}"
等有空了我再听你叫唤,negative,等 有空 了 我 再 听 你 叫唤,"{'label': 'neutral', 'score': 0.5958641767501831}"
站住,negative,站住,"{'label': 'negative', 'score': 0.9529291987419128}"
新郎是我朝夕相处的室友,neutral,新郎 是 我 朝夕相处 的 室友,"{'label': 'neutral', 'score': 0.5424047112464905}"
我希望给他一个完美的没有遗憾的婚礼,neutral,我 希望 给 他 一个 完美 的 没有 遗憾 的 婚礼,"{'label': 'neutral', 'score': 0.8448384404182434}"
新娘,positive,新娘,"{'label': 'negative', 'score': 0.3994785249233246}"
可是我大学就在一起的闺中姐妹,positive,可是 我 大学 就 在一起 的 闺 中 姐妹,"{'label': 'negative', 'score': 0.7804638147354126}"
我不允许她的婚礼一板一眼,negative,我 不 允许 她 的 婚礼 一板一眼,"{'label': 'negative', 'score': 0.8251726031303406}"
毫无特色,negative,毫无 特色,"{'label': 'negative', 'score': 0.42214369773864746}"
这就是你所谓的特色,negative,这就 是 你 所谓 的 特色,"{'label': 'neutral', 'score': 0.45477041602134705}"
你说你弄那么多假洋鬼子来干嘛,negative,你 说 你 弄 那么 多 假 洋鬼子 来 干嘛,"{'label': 'negative', 'score': 0.9035053253173828}"
新郎新娘又不是外国人,negative,新郎 新娘 又 不是 外国人,"{'label': 'positive', 'score': 0.49426719546318054}"
搞不清楚的还以为要嫁到墨西哥去,negative,搞 不 清楚 的 还 以为 要 嫁 到 墨西哥 去,"{'label': 'neutral', 'score': 0.4417564570903778}"
这样子我说我要是弄点这企鹅过来,negative,这样子 我 说 我 要是 弄点 这 企鹅 过来,"{'label': 'positive', 'score': 0.7530395984649658}"
新娘还得嫁到南极,negative,新娘 还 得 嫁 到 南极,"{'label': 'positive', 'score': 0.41205519437789917}"
是不是,negative,是 不是,"{'label': 'negative', 'score': 0.5473048090934753}"
你的方案好 一拜天 二拜地,negative,你 的 方案 好 一拜天 二拜 地,"{'label': 'neutral', 'score': 0.6198856830596924}"
你这是结婚还是上坟对吧,negative,你 这是 结婚 还是 上坟 对 吧,"{'label': 'negative', 'score': 0.8245564103126526}"
中国传统 天经地义,negative,中国 传统 天经地义,"{'label': 'neutral', 'score': 0.5390709042549133}"
不好意思,positive,不好意思,"{'label': 'neutral', 'score': 0.40421053767204285}"
传统我已经改成西式的,positive,传统 我 已经 改成 西式 的,"{'label': 'positive', 'score': 0.5638548135757446}"
我请了圣母安福会的神父,positive,我 请 了 圣母 安福会 的 神父,"{'label': 'neutral', 'score': 0.7567934393882751}"
一定会有一个圣洁的仪式的,positive,一定 会 有 一个 圣洁 的 仪式 的,"{'label': 'positive', 'score': 0.5924211144447327}"
那就是不用我主持了,negative,那 就是 不用 我 主持 了,"{'label': 'neutral', 'score': 0.5184028148651123}"
这怎么行 热场节目的时候你可以报幕嘛,positive,这 怎么 行 热场 节目 的 时候 你 可以 报幕 嘛,"{'label': 'negative', 'score': 0.5498774647712708}"
作为导演,negative,作为 导演,"{'label': 'neutral', 'score': 0.5601925253868103}"
你应该考虑到每一个来宾的感受,negative,你 应该 考虑 到 每 一个 来宾 的 感受,"{'label': 'neutral', 'score': 0.8850604891777039}"
来宾都是我请的,positive,来宾 都 是 我 请 的,"{'label': 'positive', 'score': 0.5619270205497742}"
我也有请 我在节目里都做了广告了,negative,我 也 有请 我 在 节目 里 都 做 了 广告 了,"{'label': 'positive', 'score': 0.6345419883728027}"
我最好的朋友要结婚,positive,我 最好 的 朋友 要 结婚,"{'label': 'neutral', 'score': 0.49664562940597534}"
会有很多我的粉丝来捧我的,positive,会 有 很多 我 的 粉丝 来 捧 我 的,"{'label': 'positive', 'score': 0.8561250567436218}"
人家的粉丝名字多好听,positive,人家 的 粉丝 名字 多 好听,"{'label': 'positive', 'score': 0.5707769989967346}"
什么玉米凉粉的,positive,什么 玉米 凉粉 的,"{'label': 'negative', 'score': 0.6901568174362183}"
偏偏有个人的粉丝叫咸菜,negative,偏偏 有 个人 的 粉丝 叫 咸菜,"{'label': 'neutral', 'score': 0.6683269739151001}"
怎么听着都觉得让人寒酸的想掉眼泪,negative,怎么 听 着 都 觉得 让 人 寒酸 的 想掉 眼泪,"{'label': 'negative', 'score': 0.8090642094612122}"
他们一定会支持我的,negative,他们 一定 会 支持 我 的,"{'label': 'negative', 'score': 0.464063823223114}"
那你就走着瞧,negative,那 你 就 走着瞧,"{'label': 'negative', 'score': 0.6039036512374878}"
年纪大了,negative,年纪 大 了,"{'label': 'negative', 'score': 0.5620146989822388}"
肠胃不好,negative,肠胃 不 好,"{'label': 'negative', 'score': 0.5472720861434937}"
我父亲也有这样的毛病,neutral,我 父亲 也 有 这样 的 毛病,"{'label': 'negative', 'score': 0.6232773661613464}"
肠胃缺乏有机调理,neutral,肠胃 缺乏 有机 调理,"{'label': 'neutral', 'score': 0.9435330629348755}"
导致消化功能紊乱,neutral,导致 消化 功能 紊乱,"{'label': 'neutral', 'score': 0.4424472153186798}"
再加上现在地球自转越来越慢,neutral,再 加上 现在 地球 自转 越来越 慢,"{'label': 'neutral', 'score': 0.5175762176513672}"
引力越来越小,neutral,引力 越来越 小,"{'label': 'negative', 'score': 0.7983066439628601}"
不容易啊,neutral,不 容易 啊,"{'label': 'neutral', 'score': 0.39473050832748413}"
您是神父吧,neutral,您 是 神父 吧,"{'label': 'neutral', 'score': 0.582487165927887}"
是啊,negative,是 啊,"{'label': 'neutral', 'score': 0.4620058536529541}"
都请我主持婚礼,negative,都 请 我 主持 婚礼,"{'label': 'neutral', 'score': 0.4817093014717102}"
把我这肠胃都吃坏了,negative,把 我 这 肠胃 都 吃 坏 了,"{'label': 'negative', 'score': 0.8160300850868225}"
要不你可以试试美国最新研制的肠胃,positive,要不 你 可以 试试 美国 最新 研制 的 肠胃,"{'label': 'neutral', 'score': 0.635461151599884}"
保健品 一颗就见效,positive,保健品 一 颗 就 见效,"{'label': 'positive', 'score': 0.7669993042945862}"
由澳大利亚最上乘的天然原材料制成,positive,由 澳大利亚 最 上乘 的 天然 原材料 制成,"{'label': 'positive', 'score': 0.7037278413772583}"
是吗,positive,是 吗,"{'label': 'negative', 'score': 0.5069338083267212}"
太好了,positive,太 好 了,"{'label': 'positive', 'score': 0.7777321338653564}"
给我一颗,positive,给 我 一 颗,"{'label': 'negative', 'score': 0.4181695282459259}"
一颗只卖380,positive,一 颗 只 卖 380,"{'label': 'negative', 'score': 0.5575183033943176}"
颗颗精品立竿见影,positive,颗颗 精品 立竿见影,"{'label': 'positive', 'score': 0.6668575406074524}"
您真是识货,positive,您 真是 识货,"{'label': 'positive', 'score': 0.3889448940753937}"
如果你感兴趣的话可以推荐给你的亲朋好友,positive,如果 你 感兴趣 的话 可以 推荐 给 你 的 亲朋好友,"{'label': 'positive', 'score': 0.6171384453773499}"
我将返你8%的提成,positive,我 将 返 你 8% 的 提成,"{'label': 'neutral', 'score': 0.681423008441925}"
这药不但可以保护肠胃,neutral,这 药 不但 可以 保护 肠胃,"{'label': 'neutral', 'score': 0.8484607338905334}"
还可以润肠通便,neutral,还 可以 润肠 通便,"{'label': 'neutral', 'score': 0.6047815680503845}"
你说什么,negative,你 说 什么,"{'label': 'negative', 'score': 0.7875346541404724}"
没事吧,negative,没事 吧,"{'label': 'negative', 'score': 0.6803562641143799}"
被你害死了,negative,被 你 害死 了,"{'label': 'negative', 'score': 0.7894719839096069}"
有吗,negative,有 吗,"{'label': 'neutral', 'score': 0.45113927125930786}"
神父 长者 大师,negative,神父 长者 大师,"{'label': 'positive', 'score': 0.8753032684326172}"
神父你的讲稿呢,neutral,神父 你 的 讲稿 呢,"{'label': 'neutral', 'score': 0.8954029679298401}"
什么讲稿,neutral,什么 讲稿,"{'label': 'negative', 'score': 0.7097912430763245}"
就是主持新郎新娘说 你愿意啊 我愿意 白头到老不分离的讲稿,neutral,就是 主持 新郎 新娘 说 你 愿意 啊 我 愿意 白头到老 不 分离 的 讲稿,"{'label': 'neutral', 'score': 0.6645253896713257}"
我电视上有看过,positive,我 电视 上 有 看 过,"{'label': 'positive', 'score': 0.4305795133113861}"
电视上,negative,电视 上,"{'label': 'negative', 'score': 0.7096126675605774}"
我是说我主持过很多次了,positive,我 是 说 我 主持 过 很多 次 了,"{'label': 'positive', 'score': 0.49737054109573364}"
电视台有过来拍过,positive,电视台 有 过来 拍 过,"{'label': 'neutral', 'score': 0.7011705040931702}"
ok 不过这次我们要改一改,positive,ok 不过 这次 我们 要 改 一 改,"{'label': 'neutral', 'score': 0.8108710050582886}"
没问题,positive,没 问题,"{'label': 'positive', 'score': 0.5152495503425598}"
怎么改,positive,怎么 改,"{'label': 'negative', 'score': 0.8662270903587341}"
用英语说,positive,用 英语 说,"{'label': 'negative', 'score': 0.4505496025085449}"
新娘从小是在英国长大的,neutral,新娘 从小 是 在 英国 长大 的,"{'label': 'neutral', 'score': 0.6946189999580383}"
他希望有一个原汁原味的西式婚礼,neutral,他 希望 有 一个 原汁 原味 的 西式 婚礼,"{'label': 'neutral', 'score': 0.9310981035232544}"
所以我才专程找你呀,positive,所以 我 才 专程 找 你 呀,"{'label': 'neutral', 'score': 0.7743993401527405}"
圣母安福会的神父最正宗,positive,圣母 安福会 的 神父 最 正宗,"{'label': 'neutral', 'score': 0.8504318594932556}"
我在你们那听过礼拜,neutral,我 在 你们 那 听 过 礼拜,"{'label': 'neutral', 'score': 0.4662007689476013}"
你好像是新来的,neutral,你 好像 是 新 来 的,"{'label': 'neutral', 'score': 0.5984929203987122}"
其实 其实你误会了,negative,其实 其实 你 误会 了,"{'label': 'negative', 'score': 0.5104114413261414}"
结束之后去领你的红包,neutral,结束 之后 去 领 你 的 红包,"{'label': 'neutral', 'score': 0.9254833459854126}"
我都安排好了,neutral,我 都 安排 好 了,"{'label': 'neutral', 'score': 0.5757941007614136}"
你刚刚说什么误会了,neutral,你 刚刚 说 什么 误会 了,"{'label': 'negative', 'score': 0.7166118621826172}"
没有,negative,没有,"{'label': 'negative', 'score': 0.44834813475608826}"
我是说没问题,positive,我 是 说 没 问题,"{'label': 'neutral', 'score': 0.5504944324493408}"
No problem,positive,No problem,"{'label': 'positive', 'score': 0.8204445242881775}"
OK,positive,OK,"{'label': 'positive', 'score': 0.5457102060317993}"
陈美嘉,negative,陈美嘉,"{'label': 'negative', 'score': 0.769870400428772}"
